Sr. No.,Work Category,Work ID,Work Type,Work Description,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Has Image,Completion Date,Amount Disbursed (INR)
10073,Normal/Others,WS/MP18359/2025-2026/187990,"Construction of roads, link roads, pathways or any other road with or without drainage system",Block  joya ke gram rasulpur gurjar me chamunda se amar singh ke makan se hote huye kiranpal ke makan ki or 120 mtr. rcc va nali nirman karya.  (Impliment Agency PCCD Amroha).,Uttar Pradesh,AMROHA,DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR,KANWAR SINGH TANWAR,AMROHA,True,2025-12-05,1401681.0
10074,Normal/Others,WS/MP18359/2025-2026/187989,"Construction of roads, link roads, pathways or any other road with or without drainage system",Block Gajraula ke gram maheshara me anil valmiki ke makan se rakesh valmiki ke makan ki or 56 mtr. Rcc va nali nirman karya  (Impliment Agency PCCD Amroha).,Uttar Pradesh,AMROHA,DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR,KANWAR SINGH TANWAR,AMROHA,True,2025-12-05,424776.0
10075,Normal/Others,WS/MP423/2024-2025/138578,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of CC Road From H/O Saidul Sarder to H/O Rausun Sarder(50 mtr),West Bengal,South 24 Parganas,DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS,Shri Abhishek Banerjee,DIAMOND HARBOUR,True,2026-08-21,99800.0
10076,Normal/Others,WS/MP18359/2025-2026/184202,"Construction of roads, link roads, pathways or any other road with or without drainage system",Block Hasanpur ke gram putsal me main road se chamunda hote huye satpal singh ke makan ki or 110 mtr. Cc va nali karya  (Impliment Agency PCCD Amroha).,Uttar Pradesh,AMROHA,DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR,KANWAR SINGH TANWAR,AMROHA,True,2025-12-05,669438.0
10077,Normal/Others,WS/MP18359/2025-2026/184201,"Construction of roads, link roads, pathways or any other road with or without drainage system",Block Gangeshwari ke gram talavda me rohtash dhobi ke makan se veerpal ke makan ki or 120 mtr. Cc va nali karya  (Impliment Agency PCCD Amroha).,Uttar Pradesh,AMROHA,DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR,KANWAR SINGH TANWAR,AMROHA,True,2025-12-05,1212954.0
10078,Normal/Others,WS/MP642/2025-2026/196569,"Construction of roads, link roads, pathways or any other road with or without drainage system",Gram panchayat ghughchihai me PCC Road hetu,Madhya Pradesh,SATNA,DISTRICT COLLECTOR SATNA,Ganesh Singh,SATNA,True,2026-01-29,499900.0
10079,Normal/Others,WS/MP600/2024-2025/148264,Construction of boundary walls of existing public and community buildings,"Construction of Protection Wall from the house of Karan Singh Charak to the  land  of Gopal Singh , Village- Karowa, Pyt. Sunal, Ward no. 2, near govt. Girls Middle  School,  Teh. Udhampur, Jaganoo, Udhampur",Jammu And Kashmir,UDHAMPUR,Deputy Commissioner Udhampur,Jitendra Singh,UDHAMPUR,True,2025-07-09,155000.0
10080,Normal/Others,WS/MP18102/2025-2026/186522,Construction of culverts and bridges,gram faraspura me karam se dhar road par puliya nirman,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-10-08,1000000.0
10081,Normal/Others,WS/MP005/2025-2026/174784,Construction of footpaths and pedestrian ways,"Construction Of Paver Block Work At Vansoli, beside Main Road towards Remaing Part Work,",Gujarat,KHEDA,DISTRICT COLLECTOR KHEDA,Devusinh Jesingbhai Chauhan,KHEDA,False,2026-01-22,196099.0
10082,Normal/Others,WS/MP18058/2024-2025/156609,Providing supply pipelines for drinking water,Anagadh gam hathipur bor thi laxman Bhagat na ghar sushi pani ni line ni kamagiri,Gujarat,VADODARA,DISTRICT COLLECTOR VADODARA,DR. HEMANG JOSHI,VADODARA,True,2025-07-09,500000.0
10083,Normal/Others,WS/MP18326/2024-2025/160455,"Construction of roads, link roads, pathways or any other road with or without drainage system",CAUSEWAY WORK IN TRAMBODA Village near the temple near Nagjibhai Bhagat ki Wadi on the old road.,Gujarat,SURENDRANAGAR,DISTRICT COLLECTOR SURENDRANAGAR,CHANDUBHAI CHHAGANBHAI SHIHORA,SURENDRANAGAR,False,2025-07-09,296837.0
10084,Normal/Others,WS/MP18058/2024-2025/156614,"Construction of roads, link roads, pathways or any other road with or without drainage system",ANAGADH GAM RAMJI MANDIR NI BAJU NI JAGYA MA PAVER BLOCK NI KAMGIRI,Gujarat,VADODARA,DISTRICT COLLECTOR VADODARA,DR. HEMANG JOSHI,VADODARA,True,2025-07-09,500000.0
10085,Normal/Others,WS/MP728/2025-2026/192113,Construction of rooms and halls in school and colleges,"Construction work of Boundary wall of Mahtma Gandhi Govt Upper Primary School, Dhani Panchera, Sardarshahar",Rajasthan,CHURU,DISTRICT COLLECTOR CHURU,Rahul Kaswan,CHURU,True,2026-02-17,976124.0
10086,Normal/Others,WS/MP18112/2025-2026/166838,Lighting of public spaces,"Prabhag  No. 11. Supply of all in one integrated solar device in the auditorium of Siddharth Sports Club, Fraserpura. Under Amravati Municiple Corporation",Maharashtra,AMRAVATI,DISTRICT COLLECTOR AMRAVATI,BALWANT BASWANT WANKHADE,AMRAVATI(SC),False,2025-07-09,299956.0
10087,Normal/Others,WS/MP18112/2025-2026/166836,Lighting of public spaces,"Prabhag  No. 11. Supply of all in one integrated solar device to the playground at Siddharth Sports Club, frejarpura , Under Municipal Corporation Amravati,",Maharashtra,AMRAVATI,DISTRICT COLLECTOR AMRAVATI,BALWANT BASWANT WANKHADE,AMRAVATI(SC),False,2025-07-09,299956.0
10088,Normal/Others,WS/MP370/2024-2025/145534,Construction of community centers and community halls,Const. of CC Building at Ghoghar Kisanpada,Odisha,Sundaragada,DISTRICT COLLECTOR SUNDARGARH,Shri Jual Oram,SUNDARGARH (ST),True,2025-12-29,700000.0
10089,Trust and Society,WS/MP18165/2025-2026/195235,Construction of community centers and community halls,"Building construction work in Parvatiya Samaj Jaipur, Kumaon Community Centre 15, Shri Gopal Nagar South, Gopalpura Bypass, Jaipur.",Rajasthan,JAIPUR,DISTRICT COLLECTOR JAIPUR,MANJU SHARMA,JAIPUR,True,2025-12-05,1099760.0
10090,Normal/Others,WS/MP18335/2025-2026/210197,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Construction of returning wall, on Salik Toli road From Main Road",Chhattisgarh,JASHPUR,DISTRICT COLLECTOR JASHPUR,RADHE SHYAM RATHIYA,RAIGARH(ST),True,2025-09-23,1500000.0
10091,Normal/Others,WS/MP18335/2025-2026/210207,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Construction Of returning wall,Chhattisgarh,JASHPUR,DISTRICT COLLECTOR JASHPUR,RADHE SHYAM RATHIYA,RAIGARH(ST),True,2025-09-23,1500000.0
10092,Normal/Others,WS/MP429/2025-2026/208967,Construction of common work sheds/ common covered sitting area,"Shed construction at Khalepara, Gram Panchayat - Ghaghra, Pendra",Chhattisgarh,Gaurela-Pendra-Marwahi,Collector GPM,Jyotsna Charandas Mahant,KORBA,True,2025-12-30,499970.0
10093,Normal/Others,WS/MP574/2025-2026/188453,Construction of common work sheds/ common covered sitting area,Crematorium roof work in Thakor Crematorium,Gujarat,BANAS KANTHA,DISTRICT COLLECTOR BANAS KANTHA,Bharatsinhji Shankarji Dabhi,PATAN,True,2025-07-09,200000.0
10094,Normal/Others,WS/MP574/2025-2026/188457,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Cremation roof work in Dalit community crematorium (sc),Gujarat,BANAS KANTHA,DISTRICT COLLECTOR BANAS KANTHA,Bharatsinhji Shankarji Dabhi,PATAN,True,2025-08-12,200000.0
10095,Normal/Others,WS/MP852/2024-2025/154282,Lighting of public spaces,Installaition of Solar High mast light in front of ramnarayanpara Gorsthan under katlamari-i Gp,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10096,Normal/Others,WS/MP852/2024-2025/154281,Lighting of public spaces,Installaition of Solar High mast light in front of Katlamari Haat under katlamari-i Gp,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10097,Normal/Others,WS/MP852/2024-2025/154280,Lighting of public spaces,Installaition of Solar High mast light in front of sarandajpur eidgah under katlamari-ii Gp,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10098,Normal/Others,WS/MP852/2024-2025/154279,Lighting of public spaces,Installaition of Solar High mast light in front of beledanga kabarsthan under katlamari-i Gp,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10099,Normal/Others,WS/MP852/2024-2025/154288,Lighting of public spaces,Installaition of Solar High mast light in front of Bamnabad radha gobinda masjid under Rajapur Gp,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10100,Normal/Others,WS/MP852/2024-2025/154287,Lighting of public spaces,Installaition of Solar High mast light in front of nakeraj jumma masjid under Raninagar-ii Gp,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10101,Normal/Others,WS/MP852/2024-2025/154286,Lighting of public spaces,Installaition of Solar High mast light in front of gonesh das house under Raninagar-ii Gp,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10102,Normal/Others,WS/MP852/2024-2025/154285,Lighting of public spaces,Installaition of Solar High mast light in front of abdul majit haouse under Raninagar-ii Gp,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10103,Normal/Others,WS/MP852/2024-2025/154284,Lighting of public spaces,Installaition of Solar High mast light in front of Arholpara gorsthan under katlamari-ii Gp,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10104,Normal/Others,WS/MP852/2024-2025/154283,Lighting of public spaces,Installaition of Solar High mast light in front of Guripara kali mandir under katlamari-i Gp,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10105,Normal/Others,WS/MP852/2024-2025/154290,Lighting of public spaces,Installaition of Solar High mast light in front of rajapur kanjam ullum madrashah under Rajapur Gp,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10106,Normal/Others,WS/MP852/2024-2025/154289,Lighting of public spaces,Installaition of Solar High mast light in front of char monsipara katiker more under Rajapur Gp,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10107,Normal/Others,WS/MP485/2024-2025/134790,Street lights,"Installation of Solar High Mast Light Near Kaorakhali Hedayetul Islam Jame Masjid, Plot No -6761, Khatiyan No -6781, JL No -21, Mouza - Kaorakhali",West Bengal,South 24 Parganas,DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS,Pratima Mondal,JOYNAGAR(SC),True,2026-08-08,227469.0
10108,Normal/Others,WS/MP329/2025-2026/199556,Purchase of mobile sanitation equipment,Purchase and providing of one Jone Dear 5050D for to GP Dhanana-III for sanitation purposes for use of Baba Brahamchari Gaushala,Haryana,BHIWANI,DC Cum Nodal Officer MPLADS Bhiwani,Shri  Dharambir Singh,BHIWANI MAHENDRAGARH,False,2025-07-22,828000.0
10109,Normal/Others,WS/MP18354/2024-2025/177630,Construction of common work sheds/ common covered sitting area,GRAM PANCHYAT SAKARIYA ME NAIHARSAI KE PARA ME SHED NIRMAN,Chhattisgarh,SURGUJA,Collector Surguja,CHINTAMANI MAHARAJ,SARGUJA(ST),True,2026-01-07,498826.0
10110,Normal/Others,WS/MP18113/2025-2026/176732,"Construction of roads, link roads, pathways or any other road with or without drainage system",SHANKARPUR CONSTRUCTION OF CC ROAD,Maharashtra,Chhatrapati Sambhajinagar,DISTRICT COLLECTOR AURANGABAD,BHUMARE SANDIPANRAO ASARAM,AURANGABAD_MH,False,2025-07-10,1991442.0
10111,Normal/Others,WS/MP18062/2025-2026/191298,Improvement of electricity distribution infrastructure,new electric connection in dhani of Rajesh son satbir jhajhriya village mattersham dhani of bagla,Haryana,HISAR,DEPUTY COMMISSIONER HISSAR,JAI PARKASH,HISAR,False,2025-10-06,30578.0
10112,Normal/Others,WS/MP18062/2025-2026/188080,Improvement of electricity distribution infrastructure,supply of new electric connection in dhani of Ramsaroop son of Sukh lal of village Kaliraman,Haryana,HISAR,DEPUTY COMMISSIONER HISSAR,JAI PARKASH,HISAR,False,2025-10-13,151624.0
10113,Normal/Others,WS/MP18169/2025-2026/185555,Construction of community centers and community halls,sarvjanik chowk me  sarvjank sabha bhavan ka nirmaan aakeli -b gaon me,Rajasthan,NAGAUR,DISTRICT COLLECTOR NAGAUR,MAHIMA KUMARI MEWAR,RAJSAMAND,True,2026-07-31,917947.0
10114,Normal/Others,WS/MP337/2025-2026/160160,"Construction of roads, link roads, pathways or any other road with or without drainage system",Development of the road leading to Vaddaramatti in Haramaghatta village (SC),Karnataka,SHIVAMOGGA,DEPUTY COMMISSIONER SHIMOGA,Shri B Y Raghavendra,SHIMOGA,False,2026-01-12,499318.0
